,Date,Rail,Bus,Rail,Bus
0,5/25/20 Mo,18000,60000.0,-92%,-68%
1,5/24/20 Su,15000,50000.0,-94%,-60%
2,5/23/20 Sa,20000,60000.0,-92%,-70%
3,5/22/20 Fr,33000,120000.0,-94%,-71%
4,5/21/20 Th,39000,130000.0,-94%,-70%
5,5/20/20 We,39000,130000.0,-94%,-71%
6,5/19/20 Tu,40000,120000.0,-94%,-73%
7,5/18/20 Mo,38000,120000.0,-94%,-74%
8,5/17/20 Su,14000,40000.0,-92%,-75%
9,5/16/20 Sa,19000,60000.0,-93%,-75%
10,5/15/20 Fr,39000,130000.0,-94%,-68%
11,5/14/20 Th,38000,130000.0,-94%,-71%
12,5/13/20 We,39000,120000.0,-94%,-72%
13,5/12/20 Tu,38000,120000.0,-95%,-73%
14,5/11/20 Mo,37000,130000.0,-94%,-69%
15,5/10/20 Su,14000,50000.0,-90%,-65%
16,5/9/20 Sa,18000,60000.0,-92%,-74%
17,5/8/20 Fr,37000,120000.0,-94%,-70%
18,5/7/20 Th,38000,130000.0,-94%,-70%
19,5/6/20 We,35000,110000.0,-95%,-75%
20,5/5/20 Tu,38000,130000.0,-94%,-72%
21,5/4/20 Mo,38000,130000.0,-94%,-70%
22,5/3/20 Su,13000,40000.0,-90%,-70%
23,5/2/20 Sa,19000,70000.0,-92%,-70%
24,5/1/20 Fr,37000,140000.0,-94%,-67%
25,4/30/20 Th,31000,100000.0,-95%,-77%
26,4/29/20 We,37000,130000.0,-95%,-72%
27,4/28/20 Tu,35000,120000.0,-95%,-73%
28,4/27/20 Mo,35000,120000.0,-94%,-72%
29,4/26/20 Su,12000,40000.0,-94%,-76%
30,4/25/20 Sa,17000,50000.0,-94%,-76%
31,4/24/20 Fr,33000,110000.0,-95%,-70%
32,4/23/20 Th,34000,110000.0,-95%,-75%
33,4/22/20 We,36000,120000.0,-95%,-73%
34,4/21/20 Tu,34000,110000.0,-95%,-75%
35,4/20/20 Mo,34000,110000.0,-94%,-72%
36,4/19/20 Su,13000,40000.0,-92%,-73%
37,4/18/20 Sa,15000,50000.0,-95%,-77%
38,4/17/20 Fr,34000,110000.0,-94%,-67%
39,4/16/20 Th,34000,110000.0,-95%,-72%
40,4/15/20 We,35000,110000.0,-95%,-71%
41,4/14/20 Tu,35000,120000.0,-95%,-70%
42,4/13/20 Mo,30000,100000.0,-95%,-74%
43,4/12/20 Su,11000,40000.0,-94%,-73%
44,4/11/20 Sa,14000,50000.0,-96%,-78%
45,4/10/20 Fr,34000,100000.0,-95%,-75%
46,4/09/20 Th,35000,100000.0,-95%,-77%
47,4/08/20 We,36000,110000.0,-95%,-74%
48,4/07/20 Tu,36000,100000.0,-95%,-76%
49,4/06/20 Mo,37000,110000.0,-94%,-74%
50,4/05/20 Su,14000,40000.0,-95%,-82%
51,4/04/20 Sa,18000,50000.0,-96%,-76%
52,4/03/20 Fr,41000,120000.0,-94%,-67%
53,4/02/20 Th,40000,110000.0,-95%,-73%
54,4/01/20 We,41000,110000.0,-95%,-74%
55,3/31/20 Tu,41000,100000.0,-94%,-76%
56,3/30/20 Mo,46000,110000.0,-93%,-73%
57,3/29/20 Su,16000,40000.0,-92%,-71%
58,3/28/20 Sa,19000,50000.0,-96%,-76%
59,3/27/20 Fr,49000,130000.0,-92%,-68%
60,3/26/20 Th,50000,120000.0,-93%,-72%
61,3/25/20 We,53000,110000.0,-92%,-74%
62,3/24/20 Tu,60000,110000.0,-91%,-74%
63,3/23/20 Mo,61000,100000.0,-90%,-75%
64,3/22/20 Su,23000,40000.0,-88%,-72%
65,3/21/20 Sa,30000,80000.0,-87%,-60%
66,3/20/20 Fr,85000,150000.0,-87%,-60%
67,3/19/20 Th,95000,150000.0,-85%,-63%
68,3/18/20 We,110000,150000.0,-84%,-63%
69,3/17/20 Tu,140000,200000.0,-79%,-50%
70,3/16/20 Mo,195000,,-68%,
71,3/15/20 Su,63000,,-59%,
72,3/14/20 Sa,104000,,-56%,
73,3/13/20 Fr,365000,,-38%,
74,3/12/20 Th,504000,,-24%,
75,3/11/20 We,584000,,-11%,
76,3/10/20 Tu,610000,,-7%,
77,3/9/20 Mo,589000,,-3%,
78,3/8/20 Su,172000,,9%,
79,3/7/20 Sa,225000,,-9%,
80,3/6/20 Fr,581000,,-1%,
81,3/5/20 Th,658000,,2%,
82,3/4/20 We,676000,,6%,
83,3/3/20 Tu,656000,,1%,
84,3/2/20 Mo,621000,,3%,
